Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06001450609,Census Tract 4506.09; Alameda County; California,4928,497,41.0,5.3
1400000US06001450701,Census Tract 4507.01; Alameda County; California,8738,1015,45.2,3.6
1400000US06001450741,Census Tract 4507.41; Alameda County; California,5742,676,42.3,5.6
1400000US06001450742,Census Tract 4507.42; Alameda County; California,5495,488,43.6,1.9
1400000US06001450743,Census Tract 4507.43; Alameda County; California,7435,652,33.5,2.4
1400000US06001450744,Census Tract 4507.44; Alameda County; California,5818,624,46.3,3.2
1400000US06001450745,Census Tract 4507.45; Alameda County; California,6295,852,43.5,1.6
1400000US06001450746,Census Tract 4507.46; Alameda County; California,3229,647,43.5,4.2
1400000US06001450750,Census Tract 4507.50; Alameda County; California,6858,688,36.7,0.8
1400000US06001450751,Census Tract 4507.51; Alameda County; California,12662,906,37.0,0.8
1400000US06001450752,Census Tract 4507.52; Alameda County; California,9631,825,38.2,1.3
1400000US06001451102,Census Tract 4511.02; Alameda County; California,3950,549,49.1,2.8
1400000US06001451103,Census Tract 4511.03; Alameda County; California,1361,516,49.4,7.2
1400000US06001451104,Census Tract 4511.04; Alameda County; California,7164,1085,36.4,3.5
1400000US06001451201,Census Tract 4512.01; Alameda County; California,7569,994,38.8,5.0
1400000US06001451202,Census Tract 4512.02; Alameda County; California,5482,707,38.8,2.7
1400000US06001451300,Census Tract 4513; Alameda County; California,6393,677,39.4,0.7
1400000US06001451401,Census Tract 4514.01; Alameda County; California,6166,950,43.1,5.0
1400000US06001451403,Census Tract 4514.03; Alameda County; California,2184,262,39.2,3.8
1400000US06001451404,Census Tract 4514.04; Alameda County; California,6631,910,35.7,3.3
1400000US06001451501,Census Tract 4515.01; Alameda County; California,4496,487,42.8,3.9
1400000US06001451503,Census Tract 4515.03; Alameda County; California,6104,587,43.4,4.8
1400000US06001451504,Census Tract 4515.04; Alameda County; California,1539,338,40.9,5.0
1400000US06001451505,Census Tract 4515.05; Alameda County; California,3159,473,47.3,4.9
1400000US06001451506,Census Tract 4515.06; Alameda County; California,3548,673,33.1,1.2
1400000US06001451601,Census Tract 4516.01; Alameda County; California,5367,698,44.8,3.2
1400000US06001451602,Census Tract 4516.02; Alameda County; California,6909,929,43.4,2.7
1400000US06001451701,Census Tract 4517.01; Alameda County; California,2936,490,34.9,3.0
1400000US06001451703,Census Tract 4517.03; Alameda County; California,3827,348,43.3,3.4
1400000US06001451704,Census Tract 4517.04; Alameda County; California,4320,556,41.5,4.5
1400000US06001981900,Census Tract 9819; Alameda County; California,25,32,34.3,23.8
1400000US06001982000,Census Tract 9820; Alameda County; California,50,19,61.5,9.9
1400000US06001982100,Census Tract 9821; Alameda County; California,923,48,21.4,2.1
1400000US06001983200,Census Tract 9832; Alameda County; California,896,105,41.8,2.2
1400000US06001990000,Census Tract 9900; Alameda County; California,0,13,-,**
1400000US06003010000,Census Tract 100; Alpine County; California,1515,206,43.0,10.5
1400000US06005000101,Census Tract 1.01; Amador County; California,4294,553,57.4,3.0
1400000US06005000102,Census Tract 1.02; Amador County; California,2160,361,50.8,6.7
1400000US06005000201,Census Tract 2.01; Amador County; California,2791,526,52.3,9.6
1400000US06005000202,Census Tract 2.02; Amador County; California,1868,450,57.1,15.8
1400000US06005000301,Census Tract 3.01; Amador County; California,4934,330,42.8,2.9
1400000US06005000303,Census Tract 3.03; Amador County; California,6471,351,45.4,3.3
1400000US06005000304,Census Tract 3.04; Amador County; California,5259,645,38.8,4.8
1400000US06005000401,Census Tract 4.01; Amador County; California,4570,594,53.7,6.9
1400000US06005000402,Census Tract 4.02; Amador County; California,4826,592,55.9,5.6
1400000US06005000500,Census Tract 5; Amador County; California,3404,421,49.0,6.0
1400000US06007000102,Census Tract 1.02; Butte County; California,4266,506,35.0,5.7
1400000US06007000103,Census Tract 1.03; Butte County; California,6322,630,36.9,1.6
1400000US06007000104,Census Tract 1.04; Butte County; California,5873,894,35.7,3.7
1400000US06007000201,Census Tract 2.01; Butte County; California,4140,485,36.1,3.3
1400000US06007000202,Census Tract 2.02; Butte County; California,3706,389,36.5,3.2
1400000US06007000300,Census Tract 3; Butte County; California,4785,624,32.2,4.8
1400000US06007000401,Census Tract 4.01; Butte County; California,5424,878,29.1,2.4
1400000US06007000403,Census Tract 4.03; Butte County; California,3528,401,37.9,5.0
1400000US06007000404,Census Tract 4.04; Butte County; California,3642,378,44.0,3.0
1400000US06007000501,Census Tract 5.01; Butte County; California,4684,405,26.4,1.7
1400000US06007000502,Census Tract 5.02; Butte County; California,5199,722,22.7,0.7
1400000US06007000601,Census Tract 6.01; Butte County; California,3556,551,40.5,3.9
1400000US06007000603,Census Tract 6.03; Butte County; California,3653,340,21.7,0.8
1400000US06007000604,Census Tract 6.04; Butte County; California,4519,706,23.2,0.5
1400000US06007000700,Census Tract 7; Butte County; California,4825,639,39.7,6.0
1400000US06007000800,Census Tract 8; Butte County; California,6161,793,37.2,13.0
1400000US06007000901,Census Tract 9.01; Butte County; California,2921,480,42.3,8.4
1400000US06007000903,Census Tract 9.03; Butte County; California,5977,635,34.8,2.6
1400000US06007000904,Census Tract 9.04; Butte County; California,7184,903,38.6,5.4
1400000US06007001000,Census Tract 10; Butte County; California,5825,981,23.3,2.1
1400000US06007001100,Census Tract 11; Butte County; California,3751,693,29.6,5.1
1400000US06007001200,Census Tract 12; Butte County; California,3821,542,24.1,3.1
1400000US06007001300,Census Tract 13; Butte County; California,3707,480,31.6,3.4
1400000US06007001400,Census Tract 14; Butte County; California,6593,834,49.1,6.8
1400000US06007001500,Census Tract 15; Butte County; California,6240,1047,49.2,4.3
1400000US06007001601,Census Tract 16.01; Butte County; California,1910,733,49.7,11.8
1400000US06007001602,Census Tract 16.02; Butte County; California,3122,473,51.6,2.5
1400000US06007001702,Census Tract 17.02; Butte County; California,4450,608,50.1,6.6
1400000US06007001703,Census Tract 17.03; Butte County; California,1872,517,36.1,7.2
1400000US06007001704,Census Tract 17.04; Butte County; California,3744,672,48.6,4.1
1400000US06007001800,Census Tract 18; Butte County; California,1403,328,58.0,12.3
1400000US06007001900,Census Tract 19; Butte County; California,1006,285,64.1,7.7
1400000US06007002000,Census Tract 20; Butte County; California,1391,379,65.2,14.8
1400000US06007002100,Census Tract 21; Butte County; California,1393,375,56.3,13.3
1400000US06007002200,Census Tract 22; Butte County; California,2109,602,56.6,8.4
1400000US06007002300,Census Tract 23; Butte County; California,1823,637,51.1,18.5
1400000US06007002401,Census Tract 24.01; Butte County; California,1016,160,59.3,6.0
1400000US06007002402,Census Tract 24.02; Butte County; California,2955,608,54.1,9.1
1400000US06007002500,Census Tract 25; Butte County; California,5535,610,34.1,2.3
1400000US06007002601,Census Tract 26.01; Butte County; California,2218,320,61.7,5.3
1400000US06007002602,Census Tract 26.02; Butte County; California,4261,576,57.2,8.3
1400000US06007002700,Census Tract 27; Butte County; California,5978,753,40.1,6.1
1400000US06007002800,Census Tract 28; Butte County; California,4918,718,34.8,2.7
1400000US06007002900,Census Tract 29; Butte County; California,2909,535,34.4,5.4
1400000US06007003001,Census Tract 30.01; Butte County; California,2388,558,35.2,6.4
1400000US06007003002,Census Tract 30.02; Butte County; California,2615,425,43.4,6.4
1400000US06007003100,Census Tract 31; Butte County; California,4902,715,35.7,8.4
1400000US06007003200,Census Tract 32; Butte County; California,4331,452,38.9,3.1
1400000US06007003300,Census Tract 33; Butte County; California,4259,499,48.0,4.9
1400000US06007003400,Census Tract 34; Butte County; California,3023,404,40.8,4.6
1400000US06007003501,Census Tract 35.01; Butte County; California,4383,650,28.9,6.4
1400000US06007003502,Census Tract 35.02; Butte County; California,4192,593,38.6,2.3
1400000US06007003600,Census Tract 36; Butte County; California,4286,627,31.8,8.4
1400000US06007003700,Census Tract 37; Butte County; California,4911,637,40.3,4.9
1400000US06009000121,Census Tract 1.21; Calaveras County; California,4326,347,53.9,6.8
1400000US06009000122,Census Tract 1.22; Calaveras County; California,3297,496,55.3,5.0
1400000US06009000123,Census Tract 1.23; Calaveras County; California,2940,508,52.0,5.6
1400000US06009000124,Census Tract 1.24; Calaveras County; California,2152,317,51.7,8.8
1400000US06009000220,Census Tract 2.20; Calaveras County; California,6271,873,46.2,3.0
1400000US06009000221,Census Tract 2.21; Calaveras County; California,6691,992,42.9,6.0
1400000US06009000222,Census Tract 2.22; Calaveras County; California,3669,528,53.4,4.0
1400000US06009000301,Census Tract 3.01; Calaveras County; California,4272,667,50.5,15.7
1400000US06009000302,Census Tract 3.02; Calaveras County; California,3121,600,57.2,4.8
1400000US06009000400,Census Tract 4; Calaveras County; California,4328,667,50.9,3.0
1400000US06009000501,Census Tract 5.01; Calaveras County; California,2752,468,55.3,7.8
1400000US06009000504,Census Tract 5.04; Calaveras County; California,589,221,62.7,8.1
1400000US06009000505,Census Tract 5.05; Calaveras County; California,913,253,61.4,4.1
1400000US06009000506,Census Tract 5.06; Calaveras County; California,353,135,70.1,9.2
1400000US06011000100,Census Tract 1; Colusa County; California,5350,489,35.7,4.4
1400000US06011000200,Census Tract 2; Colusa County; California,5206,398,39.2,3.6
1400000US06011000301,Census Tract 3.01; Colusa County; California,4113,514,31.3,3.2
1400000US06011000302,Census Tract 3.02; Colusa County; California,2405,488,34.7,7.2
1400000US06011000400,Census Tract 4; Colusa County; California,2160,343,42.4,6.2
1400000US06011000500,Census Tract 5; Colusa County; California,2577,281,39.2,8.2
1400000US06013301000,Census Tract 3010; Contra Costa County; California,5329,680,34.8,4.1
1400000US06013302005,Census Tract 3020.05; Contra Costa County; California,7539,1641,35.3,2.3
1400000US06013302006,Census Tract 3020.06; Contra Costa County; California,4183,607,34.2,1.7
1400000US06013302007,Census Tract 3020.07; Contra Costa County; California,6652,1077,36.1,1.9
1400000US06013302009,Census Tract 3020.09; Contra Costa County; California,6806,743,39.1,2.1
1400000US06013302011,Census Tract 3020.11; Contra Costa County; California,4915,725,34.5,2.1
1400000US06013302012,Census Tract 3020.12; Contra Costa County; California,5810,967,38.3,4.0
1400000US06013302013,Census Tract 3020.13; Contra Costa County; California,2961,399,38.9,6.6
1400000US06013302014,Census Tract 3020.14; Contra Costa County; California,7602,843,39.6,4.4
1400000US06013303104,Census Tract 3031.04; Contra Costa County; California,6060,666,37.4,1.9
1400000US06013303105,Census Tract 3031.05; Contra Costa County; California,3326,651,34.5,9.8
1400000US06013303106,Census Tract 3031.06; Contra Costa County; California,8245,1249,37.0,2.7
1400000US06013303107,Census Tract 3031.07; Contra Costa County; California,7260,905,32.8,3.3
1400000US06013303202,Census Tract 3032.02; Contra Costa County; California,9146,1142,40.2,2.8
1400000US06013303204,Census Tract 3032.04; Contra Costa County; California,4735,652,40.3,2.0
1400000US06013303206,Census Tract 3032.06; Contra Costa County; California,5452,911,37.1,6.3
1400000US06013303207,Census Tract 3032.07; Contra Costa County; California,8270,1575,29.7,1.9
1400000US06013303208,Census Tract 3032.08; Contra Costa County; California,4060,699,52.9,4.2
1400000US06013303209,Census Tract 3032.09; Contra Costa County; California,5340,823,34.4,4.3
1400000US06013303210,Census Tract 3032.10; Contra Costa County; California,3598,407,70.3,4.0
1400000US06013303211,Census Tract 3032.11; Contra Costa County; California,4679,691,41.2,2.5
1400000US06013304001,Census Tract 3040.01; Contra Costa County; California,5895,592,49.2,2.2
1400000US06013304002,Census Tract 3040.02; Contra Costa County; California,1997,907,39.8,17.9
1400000US06013304003,Census Tract 3040.03; Contra Costa County; California,3279,313,55.6,2.8
1400000US06013304004,Census Tract 3040.04; Contra Costa County; California,3634,372,54.2,2.7
1400000US06013304006,Census Tract 3040.06; Contra Costa County; California,3292,308,39.0,5.4
1400000US06013304007,Census Tract 3040.07; Contra Costa County; California,5509,892,32.8,7.5
1400000US06013305000,Census Tract 3050; Contra Costa County; California,7425,994,35.4,6.3
1400000US06013306002,Census Tract 3060.02; Contra Costa County; California,4439,1048,36.5,8.5
1400000US06013306003,Census Tract 3060.03; Contra Costa County; California,5166,554,35.5,3.2
1400000US06013306004,Census Tract 3060.04; Contra Costa County; California,3863,525,39.5,3.7
1400000US06013307101,Census Tract 3071.01; Contra Costa County; California,4696,687,36.6,4.6
1400000US06013307102,Census Tract 3071.02; Contra Costa County; California,5694,881,34.1,3.6
1400000US06013307201,Census Tract 3072.01; Contra Costa County; California,4224,780,31.8,3.2
1400000US06013307202,Census Tract 3072.02; Contra Costa County; California,4481,652,29.1,2.3
1400000US06013307204,Census Tract 3072.04; Contra Costa County; California,4567,531,38.2,3.1
1400000US06013307205,Census Tract 3072.05; Contra Costa County; California,7818,1108,36.8,3.7
1400000US06013308001,Census Tract 3080.01; Contra Costa County; California,7523,1315,39.8,4.2
1400000US06013308002,Census Tract 3080.02; Contra Costa County; California,4486,469,39.9,5.0
1400000US06013309000,Census Tract 3090; Contra Costa County; California,3600,417,37.8,2.5
1400000US06013310000,Census Tract 3100; Contra Costa County; California,6257,617,33.6,6.4
1400000US06013311000,Census Tract 3110; Contra Costa County; California,5392,855,33.9,2.6
1400000US06013312000,Census Tract 3120; Contra Costa County; California,2818,462,30.4,6.0
1400000US06013313102,Census Tract 3131.02; Contra Costa County; California,4796,554,33.3,5.7
1400000US06013313104,Census Tract 3131.04; Contra Costa County; California,2909,747,35.8,3.0
1400000US06013313105,Census Tract 3131.05; Contra Costa County; California,6007,858,34.5,4.5
1400000US06013313106,Census Tract 3131.06; Contra Costa County; California,7094,1382,33.3,4.9
1400000US06013313107,Census Tract 3131.07; Contra Costa County; California,2718,368,36.3,2.3
1400000US06013313203,Census Tract 3132.03; Contra Costa County; California,3382,531,38.8,3.2
1400000US06013313204,Census Tract 3132.04; Contra Costa County; California,5864,714,38.2,5.1
1400000US06013313205,Census Tract 3132.05; Contra Costa County; California,1978,434,34.9,1.8
